epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.907,3.23283,5.35655,0.00703,0.60112,0.18404,0.19846,0.08722,2.59394,2.90677,0.00469,0.000475878,0.000475878,0.000475878
2,641.041,2.70192,3.09778,0.0051,0.33386,0.29429,0.27359,0.13736,2.38387,2.44616,0.00413,0.000857943,0.000857943,0.000857943
3,939.187,2.55033,2.61466,0.00462,0.46102,0.32312,0.33733,0.16699,2.3517,2.27665,0.00404,0.00114569,0.00114569,0.00114569
4,1269.14,2.43715,2.37056,0.00436,0.4183,0.35761,0.35875,0.17343,2.27503,2.14031,0.00393,0.00100459,0.00100459,0.00100459
5,1563.4,2.35968,2.22498,0.0041,0.4241,0.38785,0.37641,0.19803,2.17197,1.95566,0.00352,0.000863116,0.000863116,0.000863116
6,2518.96,2.27497,2.11187,0.00391,0.42836,0.4113,0.38476,0.2019,2.13216,2.06811,0.00343,0.000721645,0.000721645,0.000721645
7,4977.82,2.24233,2.01564,0.00374,0.43437,0.39058,0.39059,0.21052,2.1141,1.9624,0.00331,0.000580174,0.000580174,0.000580174
8,5990.02,2.18226,1.92994,0.00359,0.46675,0.42655,0.40674,0.2184,2.08646,1.82724,0.00329,0.000438703,0.000438703,0.000438703
9,6275.91,2.15729,1.85627,0.0035,0.48122,0.44954,0.42803,0.23052,2.00769,1.73151,0.00312,0.000297232,0.000297232,0.000297232
10,6591.24,2.09689,1.79997,0.00337,0.499,0.46007,0.44349,0.24086,1.97448,1.71657,0.00309,0.000155761,0.000155761,0.000155761
